S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
14,SHYAM SUNDAR PRASAD,Independent,3922,10,3932,0.34,29 - Nalanda (Bihar),29 - Nalanda,Bihar
15,RAMESH KUMAR,Naki Bharatiya Ekta Party,3840,5,3845,0.34,29 - Nalanda (Bihar),29 - Nalanda,Bihar
16,KISLAY KUMAR,Independent,3599,3,3602,0.31,29 - Nalanda (Bihar),29 - Nalanda,Bihar
17,KESHO JAMADAR,Peoples Party of India (Democratic),3369,18,3387,0.3,29 - Nalanda (Bihar),29 - Nalanda,Bihar
18,SURENDER SINGH,Independent,3341,4,3345,0.29,29 - Nalanda (Bihar),29 - Nalanda,Bihar
19,DILIP KUMAR,Moolniwasi Samaj Party,2724,5,2729,0.24,29 - Nalanda (Bihar),29 - Nalanda,Bihar
20,NAND KISHOR PARASAD,Pragatisheel Magahi Samaj,2456,12,2468,0.22,29 - Nalanda (Bihar),29 - Nalanda,Bihar
21,NISHA RANJAN,Samata Party,2397,18,2415,0.21,29 - Nalanda (Bihar),29 - Nalanda,Bihar
22,SHASHIRANJAN SUMAN,Independent,2331,9,2340,0.2,29 - Nalanda (Bihar),29 - Nalanda,Bihar
23,GHANSHYAM PRASAD SINGH,Independent,2108,2,2110,0.18,29 - Nalanda (Bihar),29 - Nalanda,Bihar
24,KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,1971,9,1980,0.17,29 - Nalanda (Bihar),29 - Nalanda,Bihar
25,MUNNA KUMAR,Sankhyanupati Bhagidari Party,1937,12,1949,0.17,29 - Nalanda (Bihar),29 - Nalanda,Bihar
26,MUNNA KUMAR,Samajwadi Lok Parishad,1867,13,1880,0.16,29 - Nalanda (Bihar),29 - Nalanda,Bihar
27,PAWAN KUMAR,Independent,1595,2,1597,0.14,29 - Nalanda (Bihar),29 - Nalanda,Bihar
28,PUJA DEVI,Independent,1491,14,1505,0.13,29 - Nalanda (Bihar),29 - Nalanda,Bihar
29,CHANDRA KISHOR PRASAD YADAV,Independent,1177,1,1178,0.1,29 - Nalanda (Bihar),29 - Nalanda,Bihar
30,NOTA,None of the Above,19110,107,19217,1.6800000000000002,29 - Nalanda (Bihar),29 - Nalanda,Bihar
1,AJAY TAMTA,Bharatiya Janata Party,417535,11632,429167,64.2,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
2,PRADEEP TAMTA,Indian National Congress,191642,3428,195070,29.18,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
3,NARAYAN RAM,Bahujan Samaj Party,9840,235,10075,1.51,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
4,KIRAN ARYA,Uttarakhand Parivartan Party,5528,250,5778,0.86,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
5,ARJUN PRASAD,Independent,4591,116,4707,0.7000000000000001,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
6,DR PRAMOD KUMAR,Peoples Party of India (Democratic),4401,56,4457,0.67,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
7,ER JYOTI PRAKASH TAMTA,Bahujan Mukti Party,2178,46,2224,0.33,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
8,NOTA,None of the Above,16697,322,17019,2.55,3 - Almora (Uttarakhand),3 - Almora,Uttarakhand
1,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,517489,4347,521836,50.85,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
2,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,238210,1832,240042,23.39,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
3,ZAFAR IQBAL KHAN MANHAS,Jammu and Kashmir Apni Party,141316,879,142195,13.86,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
4,MOHAMAD SALEEM PARAY,Democratic Progressive Azad Party,25440,121,25561,2.49,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
5,ABDUL RAOUF MALIK,Independent,10566,16,10582,1.03,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
6,SUSHIL KUMAR SHARMA,Independent,9102,126,9228,0.9,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
7,ABDUL ROUF NAIK,Independent,9079,70,9149,0.89,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
8,SAJAD AHMAD DAR,Independent,7988,16,8004,0.78,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
9,IMRAN SHEIKH,Independent,7457,28,7485,0.73,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
10,IMTIYAZ AHMAD,National Loktantrik Party,6936,77,7013,0.68,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
11,ARSHEED AHMED LONE,Jammu & Kashmir National Panthers Party (Bhim),6163,226,6389,0.62,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
12,BALDEV KUMAR,Independent,6120,69,6189,0.6000000000000001,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
13,ALI MOHAMMAD WANI,Independent,5238,17,5255,0.51,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
14,SHEIKH MUZAFAR AHMED,Jammu and Kashmir Nationalist People's Front,4774,40,4814,0.47,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
15,DILIP KUMAR PANDITA,Independent,3638,84,3722,0.36,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
16,RAVINDER SINGH,Independent,2828,134,2962,0.29,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
17,GULSHAN AKHTER,Independent,2778,29,2807,0.27,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
18,MOHAMMAD MAQBOOL TELI,Garib Democratic Party,2731,17,2748,0.27,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
19,SUDARSHAN SINGH,National Awami United Party,2166,216,2382,0.23,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
20,JAVAID AHMED,All India Forward Bloc,1534,28,1562,0.15,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
21,NOTA,None of the Above,5967,256,6223,0.61,3 - ANANTNAG-RAJOURI (Jammu and Kashmir),3 - ANANTNAG-RAJOURI,Jammu and Kashmir
1,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441,3598,671039,50.93,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
2,SAMYUKTA SHIVANAND PATIL,Indian National Congress,600741,1899,602640,45.74,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
3,NAGARAJ. S. KALKUTAGAR,Independent,5628,1,5629,0.43,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
4,PARASHURAM. LAXMAN. NEELANAIK,Independent,5084,6,5090,0.39,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
5,ANTHOSH SAVVASE,Uttama Prajaakeeya Party,4909,14,4923,0.37,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
6,JYOTI GULEDGUDDA,Independent,4636,9,4645,0.35,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
7,M. B. SIDAGONI,Bahujan Samaj Party,4453,26,4479,0.34,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
8,DR. MUTTU. S. SURAKOD. (MADAR),Independent,3131,4,3135,0.24,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
9,PRASHANT RAO,Independent,1909,5,1914,0.15,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
10,DATTATREYA DASHARATHA TAVARE,Independent,1607,13,1620,0.12,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
11,AMBROSE D' MELLO,Independent,1203,2,1205,0.09,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
12,KENGANAL. MALLIKARJUN. BHIMAPPA,Independent,1189,18,1207,0.09,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
13,MALLIKARJUN H. T.,Socialist Unity Centre Of India (COMMUNIST),1137,7,1144,0.09,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
14,RAJESAB BURANSAB. MASALI,Independent,988,4,992,0.08,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
15,SHARANAPPA MALLAPPA KOTLANNAVAR,Independent,830,2,832,0.06,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
16,RAVI SHIVAPPA PADASALAGI,Independent,654,2,656,0.05,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
17,SAIYYAD IMAMSAB JAKALI,Tipu Sultan Party,546,4,550,0.04,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
18,ABDULAZIZ KALADAGI PENDARI,Independent,524,5,529,0.04,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
19,MUTTAPPA MUDAKAPPA HIREKUMBI,Raita Bharat Party,509,9,518,0.04,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
20,SAGAR. BASAPPA. KUMBAR,Karnataka Rashtra Samithi,494,5,499,0.04,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
21,S. M. MARIGOUDAR,Desh Prem Party,451,3,454,0.03,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
22,SHANKAR. VENKAPPA. NAIKAR.,Republican Party of India (A),431,10,441,0.03,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
23,NOTA,None of the Above,3398,22,3420,0.26,3 - Bagalkot (Karnataka),3 - Bagalkot,Karnataka
1,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,3 - Barpeta (Assam),3 - Barpeta,Assam
2,DEEP BAYAN,Indian National Congress,635411,2351,637762,37.83,3 - Barpeta (Assam),3 - Barpeta,Assam
3,MANORANJAN TALUKDAR,Communist Party of India (Marxist),95020,1118,96138,5.7,3 - Barpeta (Assam),3 - Barpeta,Assam
4,ABUL KALAM AZAD,All India Trinamool Congress,16359,73,16432,0.97,3 - Barpeta (Assam),3 - Barpeta,Assam
5,DEWAN MOHIBUL ISLAM,Independent,9930,11,9941,0.59,3 - Barpeta (Assam),3 - Barpeta,Assam
6,SAMEJ UDDIN,Bodoland Peoples Front,9515,177,9692,0.5700000000000001,3 - Barpeta (Assam),3 - Barpeta,Assam
7,DULU AHMED,Independent,9275,63,9338,0.55,3 - Barpeta (Assam),3 - Barpeta,Assam
8,MATIAR RAHMAN,Independent,7920,15,7935,0.47,3 - Barpeta (Assam),3 - Barpeta,Assam
9,JAGANNATH RAY,Independent,5474,74,5548,0.33,3 - Barpeta (Assam),3 - Barpeta,Assam
10,SHAJAHAN ALI KHAN,Voters Party International,4441,7,4448,0.26,3 - Barpeta (Assam),3 - Barpeta,Assam
11,AYNAL HAQUE,Independent,3174,18,3192,0.19,3 - Barpeta (Assam),3 - Barpeta,Assam
12,CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST),3060,71,3131,0.19,3 - Barpeta (Assam),3 - Barpeta,Assam
13,AMZAD ALI,Republican Party of India (Athawale),2657,22,2679,0.16,3 - Barpeta (Assam),3 - Barpeta,Assam
14,ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council,2463,14,2477,0.15,3 - Barpeta (Assam),3 - Barpeta,Assam
15,NOTA,None of the Above,16888,229,17117,1.02,3 - Barpeta (Assam),3 - Barpeta,Assam
1,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,515307,1321,516628,47.0,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
2,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,289229,1454,290683,26.44,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
3,DR.J.JAYAVARDHAN,All India Anna Dravida Munnetra Kazhagam,172108,383,172491,15.69,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
4,S.TAMILCHELVI,Naam Tamilar Katchi,83821,151,83972,7.64,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
5,M.G.RAMU,Jebamani Janata,3526,8,3534,0.32,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
6,M.AZARUTHEEN,Independent,1808,4,1812,0.16,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
7,G.P. ROBERT,Bahujan Samaj Party,1596,3,1599,0.15,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
8,R.RAVICHANDRAN,Independent,835,-,835,0.08,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
9,S.MANIMARAN,Independent,803,-,803,0.07,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
10,FARMER JAYARAMAN. S.K.J,Desiya Makkal Sakthi Katchi,790,2,792,0.07,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
11,A.K.D. ELLAPPAN,Mahathma Makkal Munnetra Kazhakam,761,-,761,0.07,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
12,K.KANNAN,Independent,625,-,625,0.06,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
13,BALAJI. G. MANGADU,Aravor Munnetra Kazhagam,588,1,589,0.05,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
14,KUTTIMANI. S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,565,-,565,0.05,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
15,R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,565,1,566,0.05,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
16,SASI REKHA,Naadaalum Makkal Katchi,557,2,559,0.05,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
17,P. SATHEESH KUMAR,Independent,520,1,521,0.05,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
18,P.SEKAR,Thakkam Katchi,435,-,435,0.04,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
19,R.YOGESHWARAN,Independent,425,1,426,0.04,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
20,J. SATHISH,Independent,418,-,418,0.04,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
21,V.P. RAVIKKARAN,Independent,372,1,373,0.03,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
22,A.PONNUDURAI,Independent,362,-,362,0.03,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
23,N.V.DAMODARAN,National Maha Sabha Party,341,2,343,0.03,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
24,M.MUNUSWAMY,Viro Ke Vir Indian Party,326,4,330,0.03,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
25,KARTHIK MURTHY,Independent,312,3,315,0.03,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
26,V.P.SURESH,Independent,288,1,289,0.03,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
27,E.RAMESH,Independent,270,-,270,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
28,R.BALAJI,Independent,264,-,264,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
29,DINESH KUMAR. B,Independent,253,-,253,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
30,A.BABU,Independent,246,-,246,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
31,DAYALAN. R,Independent,241,1,242,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
32,VIJIRATHINAM. M,Independent,237,-,237,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
33,V.SIVAKUMAR,Independent,217,-,217,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
34,MURUGAN. P,Independent,182,-,182,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
35,G.RAMESHBABU,Independent,178,1,179,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
36,S.RAJASEKARAN,Independent,177,1,178,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
37,N.NARAYANASWAMY,Independent,175,-,175,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
38,R.DEVENDRAN,Independent,167,1,168,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
39,PARTHIBAN. S,Independent,165,1,166,0.02,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
40,I. DAVIDSINGH,Independent,150,1,151,0.01,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
41,E RAVENDRAN,Independent,114,-,114,0.01,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
42,NOTA,None of the Above,15607,46,15653,1.42,3 - CHENNAI SOUTH (Tamil Nadu),3 - CHENNAI SOUTH,Tamil Nadu
1,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
2,DEVENDRA JHAJHARIA,Bharatiya Janata Party,647891,7583,655474,46.01,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
3,DEIRAM MEGHWAL,Bahujan Samaj Party,11145,126,11271,0.79,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
4,RAMESH KUMAR,Independent,5720,4,5724,0.4,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
5,GOMATI DHARAMPAL KATARIA,Bharat Rakshak Party (Democratic),4937,24,4961,0.35,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
6,SUKHDEV,Independent,4550,9,4559,0.32,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
7,RANVEER SINGH,Independent,1809,3,1812,0.13,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
8,BISAN SINGH,Independent,1571,73,1644,0.12,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
9,DAULAT RAM PENSIA,National Janmandal Party,1178,15,1193,0.08,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
10,YUSUF ALI KHAN,Independent,1176,54,1230,0.09,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
11,SHISHPAL SINGH RANA,Bheem Tribal Congress,671,4,675,0.05,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
12,NIRANJAN SINGH RATHORE,Independent,648,20,668,0.05,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
13,ASLAM LILGAR,Independent,558,9,567,0.04,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
14,NOTA,None of the Above,6583,73,6656,0.47,3 - CHURU (Rajasthan),3 - CHURU,Rajasthan
1,HARSH MALHOTRA,Bharatiya Janata Party,663420,1399,664819,52.59,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
2,KULDEEP KUMAR (MONU),Aam Aadmi Party,570494,662,571156,45.18,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
3,MOHD. WAQAR CHOUDHARY,Bahujan Samaj Party,9158,39,9197,0.73,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
4,A. GOPALA KRISHNA,Navarang Congress Party,2807,10,2817,0.22,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
5,KULDEEP KUMAR,Independent,1579,3,1582,0.13,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
6,MANOJ KUMAR GUPTA (SWARAJI),Independent,1191,1,1192,0.09,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
7,RODASH GUPTA,Independent,1097,2,1099,0.09,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
8,JYOTI PRAKASH (MONU),Ekam Sanatan Bharat Dal,824,-,824,0.07,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
9,ARUNIMA GAUTAM,Independent,749,2,751,0.06,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
10,JAI RAM LAL,Rashtriya Republican Party,657,-,657,0.05,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
11,ADVOCATE MANJEET SINGH,Rashtra Nirman Party,614,-,614,0.05,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
12,MOHAMMAD IRFAN,Independent,582,1,583,0.05,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
13,OM SHANKAR,Independent,556,-,556,0.04,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
14,LAL SINGH,Bahujan Dravida Party,476,1,477,0.04,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
15,YOGESH CHAUDHARY,Bhartiya Veer Dal,468,2,470,0.04,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
16,VIMAL KUMAR SAXENA,Independent,427,6,433,0.03,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
17,SURENDRA SINGH BASOYA,Peoples Party of India (Democratic),392,7,399,0.03,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
18,SANJAY,Public Political Party,378,1,379,0.03,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
19,AMIT GUPTA,Independent,358,2,360,0.03,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
20,SANJAYA KUMAR YADAV,Right to Recall Party,289,1,290,0.02,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
21,NOTA,None of the Above,5371,23,5394,0.43,3 - East Delhi (NCT OF Delhi),3 - East Delhi,NCT OF Delhi
1,NISHIKANT DUBEY,Bharatiya Janata Party,688879,4261,693140,49.57,3 - Godda (Jharkhand),3 - Godda,Jharkhand
2,PRADEEP YADAV,Indian National Congress,586104,5223,591327,42.29,3 - Godda (Jharkhand),3 - Godda,Jharkhand
3,UDAY SHANKAR KHAWARE,Independent,26831,6,26837,1.92,3 - Godda (Jharkhand),3 - Godda,Jharkhand
4,ARUN MARIK,Independent,17436,1,17437,1.25,3 - Godda (Jharkhand),3 - Godda,Jharkhand
5,NILESH KUMAR GUPTA,Independent,10485,3,10488,0.75,3 - Godda (Jharkhand),3 - Godda,Jharkhand
6,AVISEK ANAND JHA,Independent,9601,35,9636,0.6900000000000001,3 - Godda (Jharkhand),3 - Godda,Jharkhand
7,BAJRANGI MAHTHA,Bahujan Samaj Party,8151,24,8175,0.58,3 - Godda (Jharkhand),3 - Godda,Jharkhand
8,MUKESH KUMAR JHA,Independent,7366,-,7366,0.53,3 - Godda (Jharkhand),3 - Godda,Jharkhand
9,KUMARI DILESHWARI,Ambedkarite Party of India,6578,3,6581,0.47,3 - Godda (Jharkhand),3 - Godda,Jharkhand
10,RAMESHWAR MANDAL,Peoples Party of India (Democratic),3315,1,3316,0.24,3 - Godda (Jharkhand),3 - Godda,Jharkhand
11,SURAJ KUMAR AMAN,Bhagidari Party(P),3070,3,3073,0.22,3 - Godda (Jharkhand),3 - Godda,Jharkhand
12,ARUN KUMAR,Nyaydharmsabha,2891,2,2893,0.21,3 - Godda (Jharkhand),3 - Godda,Jharkhand
13,DR. K. RANGAIAH,Independent,2205,5,2210,0.16,3 - Godda (Jharkhand),3 - Godda,Jharkhand
14,BRAJKISHORE PANDIT,Akhil Bhartiya Manavadhikar Vichar Manch Party,2102,6,2108,0.15,3 - Godda (Jharkhand),3 - Godda,Jharkhand
15,ANUP KUMAR,"Proutist Bloc, India",2003,4,2007,0.14,3 - Godda (Jharkhand),3 - Godda,Jharkhand
16,KALIPADA MURMU,Socialist Unity Centre Of India (COMMUNIST),1935,6,1941,0.14,3 - Godda (Jharkhand),3 - Godda,Jharkhand
17,KETAN KUMAR,Right to Recall Party,1896,2,1898,0.14,3 - Godda (Jharkhand),3 - Godda,Jharkhand
18,TIPLAL SAH,Lokhit Adhikar Party,1765,5,1770,0.13,3 - Godda (Jharkhand),3 - Godda,Jharkhand
19,GYANESHWAR JHA,Jagrook Janta Party,1637,3,1640,0.12,3 - Godda (Jharkhand),3 - Godda,Jharkhand
20,NOTA,None of the Above,4309,52,4361,0.31,3 - Godda (Jharkhand),3 - Godda,Jharkhand
1,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,668782,2753,671535,49.99,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
2,PRAVEEN PATHAK,Indian National Congress,599077,2248,601325,44.77,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
3,KALYAN SINGH KANSANA,Bahujan Samaj Party,33308,157,33465,2.49,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
4,ARCHANA SINGH RATHORE,Rashtriya Samaj Paksha,5873,19,5892,0.44,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
5,BHARAT PAL,Aazad Samaj Party (Kanshi Ram),4138,25,4163,0.31,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
6,ER. MAHENDRA PRATAP SINGH PAL,Independent,3777,6,3783,0.28,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
7,RAKESH DHAKAD,Independent,3218,2,3220,0.24,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
8,YASHDEV SHARMA,Independent,2568,3,2571,0.19,3 - GWALIOR (Madhya Pradesh),3 - GWALIOR,Madhya Pradesh
