S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
19,KULDIP RAI ALIAS HAPPY SOOD MORINDA,Independent,114,-,114,0.03,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
20,NOTA,None of the Above,2900,12,2912,0.65,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,514958,1538,516496,53.46,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
2,JAI PRAKASH AGARWAL,Indian National Congress,426542,629,427171,44.22,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
3,ABUL KALAM AZAD,Bahujan Samaj Party,5820,9,5829,0.6000000000000001,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
4,UMESH RATHOR,Atulya Bharat Party,1614,3,1617,0.17,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
5,SEEMA RIZVI,Azad Samaj Party,1089,-,1089,0.11,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
6,SHAIK JALEEL,Navarang Congress Party,947,2,949,0.1,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
7,MD NAZIR,Aman Samaj Party,945,-,945,0.1,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
8,SATYA DEV CHAUDHARY,Satya Bahumat Party,842,-,842,0.09,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
9,RITU KAUSHIK,Socialist Unity Centre Of India (COMMUNIST),642,1,643,0.07,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
10,SAMEER MIRZA,Rashtriya Republican Party,513,-,513,0.05,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
11,SOHARSH GULGULIA JAIN,Swaraj Bhartiya Nyay Party,503,-,503,0.05,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
12,SHYAM BHARTEEY,Gareeb Aadmi Party,462,1,463,0.05,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
13,GULJAR SINGH,Peoples Party of India (Democratic),424,-,424,0.04,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
14,YOGENDER SINGH,Bharatiya Liberal Party,389,-,389,0.04,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
15,VINOD KUMAR GUPTA,Akhil Bhartiya Parivar Party,357,2,359,0.04,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
16,SHIVAM SAINI,Right to Recall Party,330,-,330,0.03,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
17,MANOJ KUMAR NIGAM,Akhil Bhartiya Sudhar Party,321,-,321,0.03,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
18,RAJESH GUPTA,Bharat Lok Sewak Party,261,1,262,0.03,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
19,RAHUL SHARMA,Rashtriya Mangalam Party,256,1,257,0.03,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
20,SUNIL KUMAR,Independent,247,-,247,0.03,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
21,SUBHASH CHANDER,Independent,220,-,220,0.02,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
22,MOHD HAMID,Bharatheeya Jawan Kisan Party,189,-,189,0.02,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
23,PYUSH NARULA,Independent,172,-,172,0.02,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
24,HEENA,Public Political Party,169,-,169,0.02,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
25,ASHOK KUMAR GUPTA,Independent,139,1,140,0.01,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
26,NOTA,None of the Above,5544,19,5563,0.58,1 - Chandni Chowk (NCT OF Delhi),1 - Chandni Chowk,NCT OF Delhi
1,PRIYANKA SATISH JARKIHOLI,Indian National Congress,710823,2638,713461,51.21,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
2,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,618168,4459,622627,44.69,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
3,KALLOLIKAR SHAMBHU KRISHNA,Independent,25351,115,25466,1.83,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
4,SAMMED SARADAR VARDHAMANE,Independent,5351,2,5353,0.38,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
5,SHRENIK ANNASAHEB JANGATE,Independent,5179,2,5181,0.37,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
6,APPASAHEB SHRIPATI KURANE,Sarva Janata Party,4635,19,4654,0.33,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
7,VILAS MANNUR,Independent,4143,7,4150,0.3,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
8,SATTEPPA DASHARATH KALELI,Bharatheeya Jawan Kisan Party,1304,15,1319,0.09,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
9,YASIN SHIRAJUDDIN PATAKI,Independent,1279,2,1281,0.09,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
10,KASHINATH KALLAPPA KURANI,Independent,1097,11,1108,0.08,1 - Chikkodi (Karnataka),1 - Chikkodi,Karnataka
